diff_time,water_level,humd_1,humd_2,humd_3,humd_4,humd_5,humd_6,humd_7,humd_8,humd_9
300,2.21964,100.43768,104.14557,102.25348,91.75543,92.73199,91.74017,97.91235,104.32104,90.72546
298,2.15536,100.43768,104.14557,102.25348,91.75543,92.73199,91.74017,98.00391,104.38208,90.74835
299,2.075,100.40717,104.14557,102.22296,91.75543,92.73199,91.74017,98.03442,104.38208,90.77887
301,2.1875,100.37665,104.14557,102.16193,91.75543,92.67859,91.74017,98.06494,104.4126,90.75598
301,2.20357,100.34613,104.14557,102.10089,91.78595,92.67859,91.74017,98.15649,104.38971,90.7865
300,2.15536,100.31561,104.14557,102.06274,91.78595,92.70911,91.74017,97.49274,104.0769,90.81702
298,2.17143,80.10535,104.14557,102.00171,91.78595,92.70911,91.77069,95.88293,103.99298,90.82465
301,2.17143,100.2851,104.14557,101.91016,91.78595,92.71674,91.7478,95.3031,103.80225,90.74835
300,2.21964,100.25458,104.14557,101.84912,91.77069,92.73962,91.75543,95.38702,103.70306,90.5271
300,2.17143,100.21643,104.14557,101.71942,91.83173,92.71674,91.75543,95.79901,103.79462,90.32874
299,2.20357,100.12488,104.17609,101.6889,91.85461,92.74725,91.77832,96.2644,103.95483,90.2677
303,2.1875,100.04095,104.17609,101.56683,91.83173,92.72437,91.76306,96.7298,104.01587,90.35162
298,2.25179,99.88074,104.17609,101.47528,91.83173,92.72437,91.76306,97.11127,104.17609,90.46606
299,2.1875,99.8197,104.11505,101.34558,91.86224,92.75488,91.76306,97.48511,104.24475,90.58051
302,2.15536,99.78918,104.08453,101.25403,91.89276,92.77777,91.76306,97.70636,104.3363,90.64917
300,2.13929,99.75867,104.08453,101.15485,91.89276,92.77777,91.78595,97.98865,104.39734,90.73309
299,2.20357,99.56793,104.08453,101.06329,91.83936,92.73199,91.78595,98.11835,104.39734,90.81702
299,2.17143,99.53741,104.08453,100.97174,91.83936,92.73199,91.78595,98.24042,104.43549,90.82465
304,2.20357,99.41534,104.08453,100.84204,91.86987,92.75488,91.78595,98.30908,104.466,90.85516
297,2.25179,99.35431,104.08453,100.71997,91.86987,92.75488,91.78595,98.43115,104.52704,90.87805
299,2.3,99.32379,104.05402,100.62079,91.86987,92.75488,91.78595,98.55322,104.52704,90.90857
302,2.28393,99.25513,104.00061,100.47583,91.86987,92.75488,91.76306,98.64478,104.55756,90.93909
300,2.15536,99.22461,104.00061,100.37665,91.90039,92.75488,91.76306,98.80499,104.61859,90.9162
299,2.38036,99.19409,103.97009,100.37665,91.90039,92.75488,91.76306,98.89655,104.64911,90.9696
301,2.49286,99.10254,103.93958,100.06384,91.90039,92.75488,91.76306,99.1178,104.65674,91.00012
300,2.31607,99.07202,103.90906,100.06384,91.90039,92.7854,91.76306,99.33142,104.69489,90.97723
301,2.17143,99.0415,103.87854,99.84259,91.90039,92.7854,91.76306,99.49927,104.69489,91.03064
299,2.34821,98.82025,103.87854,99.81207,91.90039,92.7854,91.76306,99.68237,104.7254,91.06116
300,2.34821,98.75922,103.84039,99.78156,91.90039,92.7854,91.76306,99.68237,104.75592,91.03827
298,2.46071,98.7287,103.77936,99.78156,91.90039,92.7854,91.76306,99.62134,104.7254,91.0993
301,2.42857,98.69818,103.77936,99.75104,91.90039,92.7854,91.76306,99.43823,104.7254,91.0993
300,2.44464,98.53796,103.77936,99.72052,91.90039,92.7854,91.80884,99.40771,104.7254,91.15271
299,2.4125,98.34723,103.74884,99.59845,91.90039,92.7854,91.80884,99.25513,104.75592,91.12982
301,2.50893,98.34723,103.74884,99.59845,91.90039,92.7854,91.80884,99.19409,104.70251,91.16034
312,2.36429,98.31671,103.74884,99.5603,91.90039,92.7854,91.80884,98.98047,104.70251,91.18323
287,2.4125,98.31671,103.71832,99.5603,91.90039,92.7854,91.80884,98.7287,104.64148,91.21375
302,2.47679,98.28619,103.65729,99.59845,91.90039,92.7854,91.80884,98.60663,104.64148,91.16797
